event-id,visible,timestamp,location-long,location-lat,external-temperature,ground-speed,heading,height-above-msl,gls:light-level,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
18533825932,TRUE,59:55.0,-84.581792,45.7054432,20.1,0.1,0,196.3,18,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18533825933,TRUE,59:49.0,-84.5824576,45.705312,28.8,0.6,0,226.6,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18533825934,TRUE,59:15.0,-84.582528,45.7054304,28.6,0.3,0,188.1,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18533825935,TRUE,59:30.0,-84.5823744,45.7051264,18.9,0,0,337.1,10,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18533825936,TRUE,58:31.0,-84.583616,45.709344,24.9,0.1,0,212.3,468,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18533825937,TRUE,58:24.0,-84.5523904,46.2943392,15,4.4,17.9,344,12964,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18557550072,TRUE,58:31.0,-84.2255936,46.4944384,17.8,0.1,0,254,5015,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18557550073,TRUE,58:35.0,-84.228896,46.505168,20.9,0,0,250,16,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18557550074,TRUE,00:03.0,-84.2288,46.5050272,27.3,0.1,0,242.5,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18557550075,TRUE,58:25.0,-84.2287744,46.50504,29.3,0.7,0,215.9,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18557550076,TRUE,59:02.0,-84.2289344,46.505104,27.3,0.5,0,235.4,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18557550077,TRUE,58:30.0,-84.2289152,46.5050432,19.6,0,0,227.6,197,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18557550078,TRUE,58:24.0,-84.2778752,46.5965088,15.3,16,31.3,481.7,5046,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
